Attaccante;Bersaglio;Tecnica;Continente;Severity
Cybercrime;Multiple targets;Malware;EU;1
Espionage / Sabotage;Multiple targets;Malware;AM;1
Cybercrime;Research - Education;Account Cracking;AM;3
Cybercrime;Entertainment / News;Vulnerabilities;AM;3
Cybercrime;Multiple targets;Malware;EU;3
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AM;2
Information warfare;Entertainment / News;Multiple Threats / APT;AS;1
Cybercrime;Research - Education;Unknown;OC;3
Cybercrime;Multiple targets;Malware;EU;3
Cybercrime;Multiple targets;Malware;AM;3
Cybercrime;Research - Education;Vulnerabilities;AM;3
Cybercrime;Health;Unknown;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Unknown;AM;1
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AM;2
Cybercrime;Health;Unknown;AM;3
Espionage / Sabotage;Multiple targets;Phishing / Social Engineering;EU;1
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Cybercrime;Health;Malware;AM;2
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AM;1
Cybercrime;GDO / Retail;Vulnerabilities;EU;3
Cybercrime;Banking / Finance;Unknown;AF;3
Cybercrime;SW / HW Vendor;Vulnerabilities;AM;3
Cybercrime;GDO / Retail;Malware;AM;3
Cybercrime;Entertainment / News;Phishing / Social Engineering;OC;3
Hacktivism;SW / HW Vendor;Unknown;AM;2
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Cybercrime;Hospitability;Vulnerabilities;AS;3
Cybercrime;Research - Education;Malware;AM;3
Cybercrime;Health;Unknown;EU;2
Cybercrime;Hospitability;Unknown;EU;3
Cybercrime;Online Services / Cloud;Malware;AM;2
Cybercrime;Entertainment / News;Unknown;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Unknown;EU;1
Information warfare;Gov - Mil - LE - Intelligence;Phishing / Social Engineering;AM;1
Information warfare;Gov - Mil - LE - Intelligence;Phishing / Social Engineering;EU;1
Cybercrime;Banking / Finance;Phishing / Social Engineering;AM;3
Cybercrime;Entertainment / News;Account Cracking;EU;3
Espionage / Sabotage;Multiple targets;Malware;AM;1
Information warfare;Entertainment / News;Multiple Threats / APT;AS;1
Cybercrime;Multiple targets;Unknown;AS;3
Cybercrime;Hospitability;Multiple Threats / APT;AM;3
